ROWID,Datacode,Rectype,Recyear,Season,Watershed_name,Line,Species,Count,Common_name
NA,CSM01,1,2012,AU,N20B,N,Peromyscus_maniculatus,2,Deer mouse
NA,CSM01,1,2012,AU,N20B,N,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2012,AU,N20B,N,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2012,AU,N20B,N,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,N20B,N,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,N20B,N,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,N20B,N,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2012,AU,N20B,N,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2012,AU,N20B,N,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,N20B,N,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,N20B,N,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,N20B,N,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,N20B,N,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,N20B,N,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,N20B,S,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2012,AU,N20B,S,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2012,AU,N20B,S,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2012,AU,N20B,S,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,N20B,S,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,N20B,S,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,N20B,S,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2012,AU,N20B,S,Peromyscus_leucopus,3,White-footed mouse
NA,CSM01,1,2012,AU,N20B,S,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,N20B,S,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,N20B,S,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,N20B,S,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,N20B,S,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,N20B,S,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,N1B,E,Peromyscus_maniculatus,7,Deer mouse
NA,CSM01,1,2012,AU,N1B,E,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2012,AU,N1B,E,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2012,AU,N1B,E,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,N1B,E,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,N1B,E,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,N1B,E,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2012,AU,N1B,E,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2012,AU,N1B,E,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,N1B,E,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,N1B,E,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,N1B,E,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,N1B,E,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,N1B,E,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2012,AU,N1B,W,Peromyscus_maniculatus,9,Deer mouse
NA,CSM01,1,2012,AU,N1B,W,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2012,AU,N1B,W,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2012,AU,N1B,W,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2012,AU,N1B,W,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2012,AU,N1B,W,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2012,AU,N1B,W,Microtus_ochrogaster,1,Prairie vole
NA,CSM01,1,2012,AU,N1B,W,Peromyscus_leucopus,2,White-footed mouse
NA,CSM01,1,2012,AU,N1B,W,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2012,AU,N1B,W,Mus_musculus,0,House mouse
NA,CSM01,1,2012,AU,N1B,W,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2012,AU,N1B,W,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2012,AU,N1B,W,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2012,AU,N1B,W,Cryptotis_parva,0,North American least shrew
